00862,00966
00575,00806
01242,08893
01151,08883
01235,01275
00201,01609
00712,01418
01576,04842
01609,06212
01232,09291
00382,06153
01017,01142
00214,01174
00104,00908
01222,09063
00898,01589
00762,09054
00780,01158
00186,09071
00484,00881
00396,00682
00368,01551
01320,09061
01167,01320
00186,00572
00921,09272
01026,08865
00999,01114
01242,09042
00673,08918
01167,01215
01100,06201
01095,01393
08883,09072
00983,01223
00865,01623
00211,00316
00422,00876
00366,01189
00997,04905
00177,09401
01211,01215
00603,01418
01268,01394
00623,00656
00834,09039
00104,08881
00675,05812
00215,00420
00401,09059
00625,00956
00624,00834
00780,00918
01104,01296
00443,00672
00390,00986
01207,06228
00618,09146
00252,01182
01166,06636
09118,09128
00413,00972
08873,08881
00397,00983
00503,00758
00126,00717
00243,08889
00503,00813
00991,01254
01151,09072
00367,01124
00238,01319
00182,00816
00328,04272
00502,01367
01207,08976
00257,01100
00715,01268
01036,06290
01201,09068
00418,01054
01233,01238
01184,09065
00204,00887
04855,09053
00501,01142
00337,01181
00366,00470
00816,00871
00542,09282
00959,08873
01224,04876
01021,06203
06480,09123
00582,00622
00193,05521
01100,01319
00623,09076
01259,04905
00864,01320
00252,01026
01167,09102
01151,05271
00767,09068
00470,00752
00628,00653
04905,08931
04938,09063
00420,00934
00451,09407
00864,00991
00960,01119
00737,06204
00195,00237
00798,01163
00401,00648
00273,06282
01223,01558
00802,01021
00284,01208
00784,00790
00673,08912
01038,01577
00310,00391
01023,01235
00898,01100
00334,01553
00408,00952
00912,01403
00571,08881
00232,00237
00252,00903
00657,01145
00508,00514
00188,09118
00834,01115
00959,09220
00796,01119
01418,08816
00820,00999
00687,06335
00196,00338
00619,04905
00794,00921
01167,09143
04946,09072
01174,08864
00715,00754
06287,09054
00880,01016
00688,08795
00479,00535
00569,08976
00422,00502
00752,00937
06772,09063
00682,06695
00196,00758
00343,00794
00390,00500
00864,08916
00450,09271
00409,06684
00327,01247
00611,00972
00706,01012
06153,08897
00384,09242
00408,01403
00280,06717
00312,00796
01167,06218
00374,00700
00136,06290
00715,00950
00625,00813
00726,01560
01576,01618
00875,09068
01062,01072
00540,06144
00452,01150
01201,08882
00384,00652
00182,00321
00705,09068
00830,01274
00420,01037
00790,00814
01158,09063
00311,00497
00220,01320
00741,04876
00679,01075
01229,08895
00209,04924
00410,09268
00888,01656
01009,09026
00188,00736
01600,01609
00608,00612
00714,00834
00363,01238
00472,00765
01556,09080
00682,04855
01120,01601
01201,06684
01211,06287
00820,00932
00368,01274
00503,00938
00554,03619
00559,00608
01167,01224
00181,09118
01021,01591
01041,06282
00177,00876
00675,01156
00857,04861
00661,01319
00486,00593
00924,05812
00300,00573
00215,01184
00543,00715
08933,09039
00220,06218
00904,09068
09272,09300
00289,00932
00573,00974
00457,00668
00490,01045
00559,09071
